px1	py1	pz1	E1	px2	py2	pz2	E2
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
-114	0	0	3	16054.3	0	0	3	
